,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0,0001193125-23-212335,2023-08-14,2023-06-30,2023-08-14T16:14:05.000Z,34,10-Q,814-01196,231170302,,42470805,1,1,d521879d10q.htm,10-Q
1,0001193125-23-145163,2023-05-15,2023-03-31,2023-05-15T17:08:51.000Z,34,10-Q,814-01196,23924150,,34893097,1,1,d446365d10q.htm,10-Q
2,0001193125-22-285881,2022-11-15,2022-09-30,2022-11-15T17:31:32.000Z,34,10-Q,814-01196,221392235,,37924392,1,1,d290948d10q.htm,10-Q
3,0001193125-22-221163,2022-08-15,2022-06-30,2022-08-15T15:48:40.000Z,34,10-Q,814-01196,221165401,,2326666,0,0,d359557d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
4,0001193125-22-151999,2022-05-16,2022-03-31,2022-05-16T17:13:26.000Z,34,10-Q,814-01196,22930836,,2218676,0,0,d279365d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
5,0001193125-21-327899,2021-11-12,2021-09-30,2021-11-12T14:36:10.000Z,34,10-Q,814-01196,211402676,,2018088,0,0,d209044d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
6,0001193125-21-244937,2021-08-13,2021-06-30,2021-08-12T17:47:36.000Z,34,10-Q,814-01196,211169023,,2090046,0,0,d180933d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
7,0001193125-21-161859,2021-05-14,2021-03-31,2021-05-14T14:56:32.000Z,34,10-Q,814-01196,21923938,,1909276,0,0,d29702d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
8,0001193125-20-292577,2020-11-13,2020-09-30,2020-11-13T11:43:05.000Z,34,10-Q,814-01196,201310013,,2720342,0,0,d629099d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
9,0001193125-20-220203,2020-08-14,2020-06-30,2020-08-14T14:54:33.000Z,34,10-Q,814-01196,201104254,,1811027,0,0,d43904d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
10,0001193125-20-159616,2020-06-03,2020-03-31,2020-06-03T16:50:13.000Z,34,10-Q,814-01196,20940627,,1657839,0,0,d907516d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
11,0001193125-19-292267,2019-11-14,2019-09-30,2019-11-14T15:15:05.000Z,34,10-Q,814-01196,191219388,,1531283,0,0,d828273d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
12,0001193125-19-220723,2019-08-14,2019-06-30,2019-08-14T10:21:39.000Z,34,10-Q,814-01196,191023597,,2717640,0,0,d782068d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
13,0001193125-19-147756,2019-05-15,2019-03-31,2019-05-15T13:09:35.000Z,34,10-Q,814-01196,19826737,,1160413,0,0,d748052d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
14,0001193125-18-326728,2018-11-14,2018-09-30,2018-11-14T16:15:28.000Z,34,10-Q,814-01196,181183950,,789161,0,0,d613037d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
15,0001193125-18-248394,2018-08-14,2018-06-30,2018-08-14T15:36:04.000Z,34,10-Q,814-01196,181016937,,713094,0,0,d532940d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
16,0001193125-18-164024,2018-05-15,2018-03-31,2018-05-15T15:44:04.000Z,34,10-Q,814-01196,18835998,,606569,0,0,d540853d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
17,0001193125-17-341166,2017-11-13,2017-09-30,2017-11-13T17:28:04.000Z,34,10-Q,814-01196,171197299,,226711,0,0,d475843d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
18,0001193125-17-257334,2017-08-14,2017-06-30,2017-08-14T16:45:52.000Z,34,10-Q,814-01196,171030992,,661469,0,0,d438706d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
19,0001193125-17-168712,2017-05-12,2017-03-31,2017-05-12T16:48:33.000Z,34,10-Q,814-01196,17839403,,149860,0,0,d381894d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
20,0001193125-16-767809,2016-11-14,2016-09-30,2016-11-14T16:31:53.000Z,34,10-Q,814-01196,161995234,,149190,0,0,d291057d10q.htm,AB PRIVATE CREDIT INVESTORS CORPORATION
